date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:03	2429/2429	---MCZ	200	added ('OK')	text/xml	date:Wed,%2003%20Oct%202018%2020:53:00%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fpatrimonio-cultural%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed6db8	(from https://constructionbim.faro.com/mx/patrimonio-cultural/)
22:53:03	0/-1	---M--	301	error ('')			https://constructionbim.faro.com/mx/inicio	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/mx/inicio.206.delayed	(from https://constructionbim.faro.com/mx/patrimonio-cultural/)
22:53:04	49551/49551	---M--	200	added ('OK')	image/jpeg	etag:%22c18f-54b33f23097b3%22	https://constructionbim.faro.com/wp-content/uploads/sites/4/2017/03/PointSense-Heritage.jpg	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-content/uploads/sites/4/2017/03/PointSense-Heritage.jpg	(from https://constructionbim.faro.com/mx/patrimonio-cultural/)
22:53:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:53:03%20GMT	https://constructionbim.faro.com/?p=1794	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/index4b30.html	(from https://constructionbim.faro.com/mx/gestion-de-instalaciones/)
22:53:05	2375/2375	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Oct%202018%2020:53:03%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fgestion-de-instalaciones%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embede900.json	(from https://constructionbim.faro.com/mx/gestion-de-instalaciones/)
22:53:06	0/-1	---M--	301	error ('')			https://constructionbim.faro.com/mx/inicio	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/mx/inicio.209.delayed	(from https://constructionbim.faro.com/mx/gestion-de-instalaciones/)
22:53:07	2469/2469	---MCZ	200	added ('OK')	text/xml	date:Wed,%2003%20Oct%202018%2020:53:04%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Fgestion-de-instalaciones%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed27aa	(from https://constructionbim.faro.com/mx/gestion-de-instalaciones/)
22:53:08	2280/2280	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Oct%202018%2020:53:05%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Frecursos%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed4091.json	(from https://constructionbim.faro.com/mx/recursos/)
22:53:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:53:05%20GMT	https://constructionbim.faro.com/?p=771	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/index7d87.html	(from https://constructionbim.faro.com/mx/recursos/)
22:53:09	0/-1	---M--	301	error ('')			https://constructionbim.faro.com/mx/inicio	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/mx/inicio.20c.delayed	(from https://constructionbim.faro.com/mx/recursos/)
22:53:09	2374/2374	---MCZ	200	added ('OK')	text/xml	date:Wed,%2003%20Oct%202018%2020:53:07%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fmx%2Frecursos%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embeda298	(from https://constructionbim.faro.com/mx/recursos/)
22:53:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:53:08%20GMT	https://constructionbim.faro.com/?p=784	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/indexf9ae.html	(from https://constructionbim.faro.com/pt/arquitetura/)
22:53:10	73/73	---MC-	404	error ('Not%20Found')	application/json	date:Wed,%2003%20Oct%202018%2020:53:08%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fpt%2Farquitetura%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed.20dfdfa.delayed	(from https://constructionbim.faro.com/pt/arquitetura/)
22:53:11	132/132	---MC-	404	error ('Not%20Found')	text/xml	date:Wed,%2003%20Oct%202018%2020:53:09%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fpt%2Farquitetura%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embedc3be	(from https://constructionbim.faro.com/pt/arquitetura/)
22:53:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:53:09%20GMT	https://constructionbim.faro.com/pt/home	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/pt/home	(from https://constructionbim.faro.com/pt/arquitetura/)
22:53:12	2284/2284	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Oct%202018%2020:53:10%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fpt%2Fconstrucao%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed1b04.json	(from https://constructionbim.faro.com/pt/construcao/)
22:53:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:53:11%20GMT	https://constructionbim.faro.com/?p=786	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/index4ab5.html	(from https://constructionbim.faro.com/pt/construcao/)
22:53:14	2378/2378	---MCZ	200	added ('OK')	text/xml	date:Wed,%2003%20Oct%202018%2020:53:11%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fpt%2Fconstrucao%2F&format=xml	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embedeb80	(from https://constructionbim.faro.com/pt/construcao/)
22:53:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:53:12%20GMT	https://constructionbim.faro.com/pt/home	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/pt/home	(from https://constructionbim.faro.com/pt/construcao/)
22:53:15	2254/2254	---MC-	200	added ('OK')	application/json	date:Wed,%2003%20Oct%202018%2020:53:13%20GMT	https://constructionbim.faro.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fconstructionbim.faro.com%2Fpt%2Fengenharia%2F	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-json/oembed/1.0/embed7470.json	(from https://constructionbim.faro.com/pt/engenharia/)
